ppm,Lip 1,Lip 2,Lip 3,Lip 4,Lip 5,Lip 6,Lip 7,Lip 8,Lip 9,Lip10,Lip11,Lip12,Lip13,Lip14,Lip15,Lip16,Lip17,Lip18,Lip19,Lip20,Lip21,Lip22,Lip23,Lip24,Lip25,Lip26,Lip27,Lip28,Lip29,Lip30,Lip31,Lip32,Lip33,Lip34,Lip35,Lip36,Lip37,Lip38,Lip39,Lip40
9.476283042,547255.4719,1525216.638,1302849.5,666725.5746,1410535.693,825601.3036,4786090.515,2029450.293,2684608.641,1438845.781,450041.7887,1678228.099,1256432.137,1745629.187,1145600.786,1546200.741,1191724.421,887277.7111,4033860.411,2441302.166,558336.8878,1042991.45,990899.9225,747606.1929,3442390.554,2107858.142,1775078.334,972588.5005,1007690.307,2107641.401,1727780.925,961434.1803,2232925.322,994088.4176,1209890.436,1255763.175,744780.5007,1698687.569,1006755.504,1272053.106
9.478839031,271710.8644,1279784.908,1016760.593,1113628.585,1334757.458,1053479.602,5132185.295,2006273.785,2730536.932,1150949.277,520576.7644,1984186.563,1087229.096,1489031.252,1416939.363,1442003.473,1219927.38,759121.9274,3979479.317,2374246.37,142181.8494,697385.4731,815644.2152,842515.7571,3745043.953,1976665.241,1566040.804,1305076.149,1151710.297,2054784.82,1269822.485,870392.4788,2279215.696,1146693.393,1058844.274,1205877.654,542374.6228,1649971.941,1088465.567,1146263.727
9.48139502,239059.9525,1310248.339,1255335.944,1075459.186,1483522.139,1056667.529,5311478.059,1723018.164,2845932.951,1253924.175,563336.3872,1656047.817,1411543.848,1587831.26,1320666.355,1406179.632,1203002.778,1451010.264,3694651.882,2945606.773,390082.6632,772378.6611,1071875.873,602455.1161,3551988.485,2028700.897,1907093.079,1151899.29,1092766.369,2005221.356,1305587.392,1255717.238,2100285.367,1075702.21,1110722.501,1089553.745,740145.9225,2079889.288,1290431.507,1763027.52
9.483951009,673867.5444,1305390.087,1032872.793,1104672.998,1425999.433,1156719.219,5225483.262,2028009.856,2744926.885,1048083.914,609702.8543,2044130.471,1204102.529,1538694.497,1014712.899,1460797.874,1299047.947,1080820.972,3494006.04,2943584.994,678079.9789,545510.9657,958538.5783,593134.0654,3309133.431,1918123.448,1808720.45,1033538.913,908020.7426,2204855.034,1284438.093,1019877.702,2318208.852,1057594.212,1165169.223,951140.179,725945.2769,2225818.646,1067129.755,1391564.531
9.486506998,119027.8587,1166306.197,1248399.784,1277532.238,1335791.22,1292790.677,5242163.281,1915249.352,2643529.464,961679.3693,503624.9041,1842788.942,1262689.1,1576266.206,1278649.929,1072162.826,1007107.584,851183.7399,4029033.574,2706243.943,451725.5155,860300.4607,917793.2082,1164215.27,3519118.622,1714120.592,1694621.341,998342.3287,1474134.016,2063858.561,1363781.638,1279837.752,2169404.238,980417.9554,1093812.882,1212061.354,1072322.49,1734660.968,1111814.507,1581784.366
9.489062987,322989.9503,1448270.667,1162358.685,804042.531,1438239.74,1149622.901,5013669.958,2063263.241,2744786.128,1357319.023,567662,2043382.897,1115843.497,1725027.576,1341958.49,1331542.24,1135089.214,888432.3509,3778049.012,2525388.291,581447.6098,820119.0287,696546.9379,550913.9295,3766805.073,1955957.085,1271119.014,1147765.838,1406916.454,2162442.421,1624154.116,1270991.807,2388324.769,1097639.255,1335468.866,1275510.952,824436.9984,1682130.113,1009979.59,1569010.059
9.491618976,291022.5798,1160700.53,1326432.619,797000.01,1554279.124,1242402.814,5402377.346,2248233.291,2735077.398,1165463.938,667652.0091,2027408.675,1059021.351,1982050.597,1020995.238,1276693.66,1176050.539,905588.6774,3869071.151,2195219.514,535354.0916,912877.811,1223027.765,383720.2063,3292141.756,1872569.602,1528131.719,560106.068,1085573.029,2082023.701,1465325.226,1146023.441,2570988.008,1182523.048,1260356.801,984628.6692,863608.8953,1734831.589,1128443.152,1344193.298
9.494174965,119236.6266,1531756.684,1227961.391,821191.6819,1710754.44,1348603.715,5003684.563,1919926.58,2754697.425,1319230.032,596005.7997,1834685.845,1317260.201,1470638.16,1337637.884,1223834.277,1276608.666,1049699.453,3949683.766,2427762.83,442261.2937,979250.2846,1145042.043,862790.6214,3584892.596,2256395.109,1483474.21,1126034.349,1204151.478,2288980.406,1725621.137,1363619.821,2267144.875,1490651.038,1090328.969,1227896.842,1055140.765,1833118.002,1220920.588,1261277.742
9.496730954,234578.3355,1493535.441,1228279.535,946721.6333,1032415.986,1314595.631,5604511.729,2168990.184,3028021.694,1427498.049,895431.8802,1884584.035,937224.3487,1484488.108,1366735.747,1307230.328,1182089.076,978417.567,3899784.849,2752234.422,420489.9569,1026947.963,1231783.085,465503.3377,3347439.509,2010081.741,1985994.403,960009.2496,1186449.977,2305464.469,1440147.623,1395186.268,2658750.997,1027172.285,1203116.18,1351851.755,680674.963,1728325.929,1166861.279,1577310.538
9.499286943,433251.8413,1376334.968,1567155.385,1205891.834,1542840.265,1225983.791,5161723.122,2060023.551,2911975.805,1301221.264,542994.8178,1942620.23,1244269.401,1920885.205,1041882.126,1246375.014,1322188.994,860459.562,4318140.242,2799661.689,634283.4255,703377.0212,807732.645,476078.5119,3544165.193,2394756.228,1585160.832,1204253.363,759243.6218,2250571.482,1540574.684,1220302.056,2504023.334,803252.8907,1017240.395,1230971.835,1011425.468,2027777.233,1156203.012,1572031.729
9.501842932,229999.3061,1474481.452,1317285.94,1096365.719,1679357.415,1148481.725,5301638.629,2253584.181,2899480.3,1457674.517,711915.9172,2034167.46,889142.1199,1627362.438,1282888.8,1321094.766,1404739.664,1020730.359,4551314.614,2273351.793,568585.3517,1381137.737,1112038.084,451013.6835,3390840.003,2185878.579,1969817.285,881140.7927,1017128.383,2056536.232,1471479.013,1155527.77,2351120.816,1082730.255,1196999.408,1325809.804,761498.9629,1811427.481,1039965.673,1365801.263
9.504398921,378417.5644,1680706.664,1555610.893,1043256.01,1604970.003,1060446.693,4894465.721,2456425.218,2883614.881,1328775.186,440331.0697,1985305.031,1364866.05,1984267.527,1040838.532,1610811.251,1542594.525,1199062.355,4088187.41,2722444.895,647783.5596,1422803.343,883964.0142,655599.0734,3879701.944,2206939.359,1564655.9,1333690.757,1051011.101,2250585.673,1507474.376,1327474.159,3113071.906,844511.5857,1258489.401,1171938.489,984063.7444,1998975.52,1414521.015,1514497.605
9.50695491,364973.7534,1703684.02,1666653.695,607175.6098,1954363.036,1240913.395,5090152.085,2030451.912,2995610.358,1315841.568,475968.8458,2032949.103,1163400.062,1714094.208,1213367.629,1752109.714,1812106.146,853285.8365,3903143.012,2768538.926,578917.4462,858267.3521,1010741.253,654209.997,3853491.259,2686968.719,1897895.481,1488217.71,1130337.869,2670567.639,1647165.16,1352464.301,2567825.8,1148318.67,1362554.253,1117546.766,942225.3437,1623888.892,1208847.409,1334398.685
9.509510899,420706.6322,2258108.684,1146705.979,1272262.111,1569607.252,1358364.36,5446527.192,2349230.84,2933048,1435487.026,875365.4724,2167491.274,1427373.74,2228105.451,1182389.534,1600700.893,1285739.676,976911.2734,4054799.037,2520033.918,388187.7542,883200.2853,973458.0338,532004.0433,3699318.169,2516101.065,1949955.367,1239162.953,1078693.842,2829928.205,1489959.68,1128035.356,2660655.769,1385583.194,1215819.431,1560170.946,843963.582,1581456.751,1188619.753,1405032.653
